22:03:27.778 [nioEventLoopGroup-2-1] INFO  version1.server.ServerListener - bind success at port:18080
22:03:27.779 [Thread-0] INFO  version1.server.OperationManager - a new condition is added
22:03:27.779 [nioEventLoopGroup-4-1] INFO  version1.server.ServerListener - bind success at port:18081
22:03:27.782 [main] INFO  version1.zmove.single.SingleMove - netty server is set up
22:03:32.195 [nioEventLoopGroup-3-1] INFO  v.channel.ConnectionChannelHandler - 客户端：/192.168.0.1:50865已连接上Connection来
22:03:32.195 [nioEventLoopGroup-5-1] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.1:51498已连接上Action来
22:03:32.196 [nioEventLoopGroup-3-1] INFO  v.channel.ConnectionChannelHandler - 客户端：/192.168.0.1:50865在线
22:03:32.196 [nioEventLoopGroup-5-1] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.1:51498在线
22:03:32.212 [nioEventLoopGroup-3-1] INFO  version1.coder.ConnServerDecoder - receive a object1611695012212
22:03:32.212 [nioEventLoopGroup-5-1] INFO  version1.coder.ActionServerDecoder - receive a  action object1611695012212
decode: datatype of the coming packet  2
22:03:32.214 [nioEventLoopGroup-3-1] INFO  version1.coder.ConnServerDecoder - datatype2
decode: datatype of the coming packet  2
22:03:32.215 [nioEventLoopGroup-5-1] INFO  version1.coder.ActionServerDecoder - datatype2
22:03:32.230 [nioEventLoopGroup-5-1] INFO  version1.channel.BaseChannelHandler - channel read
22:03:32.230 [nioEventLoopGroup-5-1] INFO  version1.channel.ActionChannel - syn message comes
22:03:32.232 [nioEventLoopGroup-3-1] INFO  version1.channel.BaseChannelHandler - channel read
22:03:32.232 [nioEventLoopGroup-3-1] INFO  version1.channel.ConnectionChannel - process message begin
22:03:32.232 [nioEventLoopGroup-3-1] INFO  version1.channel.ConnectionChannel - syn message comes
22:03:32.234 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - channel try to connect
22:03:32.234 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - a new NF is found
22:03:32.234 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - set a NF successful
22:03:32.234 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - try to set a connection channel
22:03:32.235 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - connection channel has connected
22:03:32.233 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - channel try to connect
22:03:32.235 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - a new NF is found
22:03:32.236 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - try to set a action channel
22:03:32.236 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - xiaolin-virtual-machine.15692has already fully connected
22:03:35.340 [nioEventLoopGroup-5-2] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.2:53877已连接上Action来
22:03:35.341 [nioEventLoopGroup-5-2] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.2:53877在线
22:03:35.341 [nioEventLoopGroup-5-2] INFO  version1.coder.ActionServerDecoder - receive a  action object1611695015341
decode: datatype of the coming packet  2
22:03:35.342 [nioEventLoopGroup-5-2] INFO  version1.coder.ActionServerDecoder - datatype2
22:03:35.342 [nioEventLoopGroup-5-2] INFO  version1.channel.BaseChannelHandler - channel read
22:03:35.345 [nioEventLoopGroup-5-2] INFO  version1.channel.ActionChannel - syn message comes
22:03:35.346 [nioEventLoopGroup-5-2] INFO  version1.server.OperationManager - channel try to connect
22:03:35.346 [nioEventLoopGroup-5-2] INFO  version1.server.OperationManager - a new NF is found
22:03:35.346 [nioEventLoopGroup-5-2] INFO  version1.server.OperationManager - set a NF successful
22:03:35.346 [nioEventLoopGroup-5-2] INFO  version1.server.OperationManager - try to set a action channel
22:03:35.346 [nioEventLoopGroup-5-2] INFO  version1.server.OperationManager - action channel has connected
22:03:35.346 [nioEventLoopGroup-3-2] INFO  v.channel.ConnectionChannelHandler - 客户端：/192.168.0.2:44307已连接上Connection来
22:03:35.346 [nioEventLoopGroup-3-2] INFO  v.channel.ConnectionChannelHandler - 客户端：/192.168.0.2:44307在线
22:03:35.347 [nioEventLoopGroup-3-2] INFO  version1.coder.ConnServerDecoder - receive a object1611695015347
decode: datatype of the coming packet  2
