10:24:03.774 [Thread-0] INFO  version1.server.OperationManager - a new condition is added
10:24:03.774 [nioEventLoopGroup-4-1] INFO  version1.server.ServerListener - bind success at port:18081
10:24:03.774 [nioEventLoopGroup-2-1] INFO  version1.server.ServerListener - bind success at port:18080
10:24:03.779 [main] INFO  version1.zmove.single.SingleMove - netty server is set up
10:24:12.009 [nioEventLoopGroup-3-1] INFO  v.channel.ConnectionChannelHandler - 客户端：/192.168.0.1:51244已连接上Connection来
10:24:12.012 [nioEventLoopGroup-3-1] INFO  v.channel.ConnectionChannelHandler - 客户端：/192.168.0.1:51244在线
10:24:12.013 [nioEventLoopGroup-5-1] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.1:51877已连接上Action来
10:24:12.013 [nioEventLoopGroup-5-1] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.1:51877在线
10:24:12.029 [nioEventLoopGroup-5-1] INFO  version1.coder.ActionServerDecoder - receive a  action object1611739452029
decode: datatype of the coming packet  2
10:24:12.029 [nioEventLoopGroup-3-1] INFO  version1.coder.ConnServerDecoder - receive a object1611739452029
decode: datatype of the coming packet  2
10:24:12.032 [nioEventLoopGroup-3-1] INFO  version1.coder.ConnServerDecoder - datatype2
10:24:12.036 [nioEventLoopGroup-5-1] INFO  version1.coder.ActionServerDecoder - datatype2
10:24:12.048 [nioEventLoopGroup-5-1] INFO  version1.channel.BaseChannelHandler - channel read
10:24:12.049 [nioEventLoopGroup-3-1] INFO  version1.channel.BaseChannelHandler - channel read
10:24:12.049 [nioEventLoopGroup-3-1] INFO  version1.channel.ConnectionChannel - process message begin
10:24:12.049 [nioEventLoopGroup-3-1] INFO  version1.channel.ConnectionChannel - syn message comes
10:24:12.052 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - channel try to connect
10:24:12.052 [nioEventLoopGroup-5-1] INFO  version1.channel.ActionChannel - syn message comes
10:24:12.054 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - a new NF is found
10:24:12.054 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - channel try to connect
10:24:12.054 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - a new NF is found
10:24:12.055 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - set a NF successful
10:24:12.055 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - try to set a connection channel
10:24:12.055 [nioEventLoopGroup-3-1] INFO  version1.server.OperationManager - connection channel has connected
10:24:12.055 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - try to set a action channel
10:24:12.056 [nioEventLoopGroup-5-1] INFO  version1.server.OperationManager - xiaolin-virtual-machine.17164has already fully connected
10:24:15.709 [nioEventLoopGroup-5-2] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.2:54257已连接上Action来
10:24:15.710 [nioEventLoopGroup-5-2] INFO  v.channel.ActionChannelHandler - 客户端：/192.168.0.2:54257在线
10:24:15.711 [nioEventLoopGroup-5-2] INFO  version1.coder.ActionServerDecoder - receive a  action object1611739455711
decode: datatype of the coming packet  2
10:24:15.711 [nioEventLoopGroup-5-2] INFO  version1.coder.ActionServerDecoder - datatype2
